,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
3756,Kepler-316 c,Kepler-316,6.827766,0.058,1.16,1.65,5.81,0.0,577.0,21.95,4204.0,0.52,0.59,384.9380000,2,37.38,4.74,3.31
3757,Kepler-316 b,Kepler-316,2.240508,0.027,1.06,1.2,5.54,0.0,837.0,11.5,4204.0,0.52,0.59,384.9380000,2,164.78,4.74,3.31
3758,Kepler-315 c,Kepler-315,265.469335,0.791,4.15,16.1,1.24,0.0,291.0,79.8,5796.0,1.04,0.98,1160.6300000,2,1.72,4.38,4.9
3759,Kepler-315 b,Kepler-315,96.101141,0.402,3.77,13.7,1.4,0.0,409.0,26.89,5796.0,1.04,0.98,1160.6300000,2,6.67,4.38,4.9
3760,Kepler-314 c,Kepler-314,5.960392,0.064,2.9,8.75,1.97,0.0,890.0,16.4,5378.0,0.95,1.02,268.8810000,2,149.98,4.46,2.4
3761,Kepler-314 b,Kepler-314,2.461069,0.035,0.83,0.498,4.79,0.0,1195.0,9.1,5378.0,0.95,1.02,268.8810000,2,488.67,4.46,2.4
3762,Kepler-313 c,Kepler-313,32.273273,0.208,2.57,7.13,2.31,0.0,683.0,21.6,5727.0,1.54,1.08,1079.3952487,2,51.5,4.13,6.61
3763,Kepler-313 b,Kepler-313,14.970418,0.125,2.53,6.94,2.35,0.0,883.0,13.0,5727.0,1.54,1.08,1079.3952487,2,143.33,4.13,6.61
3764,Kepler-312 c,Kepler-312,19.747412,0.153,3.15,10.1,1.78,0.0,754.0,44.99,6115.0,1.47,1.23,797.7200000,2,165.82,4.19,1.48
3765,Kepler-312 b,Kepler-312,1.772419,0.031,1.29,2.21,5.66,0.0,1685.0,5.572,6115.0,1.47,1.2,797.7200000,2,4124.02,4.19,1.48
3766,Kepler-311 c,Kepler-311,19.738286,0.145,1.43,2.63,4.94,0.0,744.0,14.1,5905.0,1.19,1.08,778.6540000,2,72.46,4.31,1.95
3767,Kepler-311 b,Kepler-311,9.176092,0.087,1.7,3.53,3.95,0.0,960.0,16.573,5905.0,1.19,1.08,778.6540000,2,201.36,4.31,1.95
3768,Kepler-310 d,Kepler-310,92.876125,0.392,2.47,7.0,3.3,0.0,353.0,44.3,5797.0,0.88,0.91,602.2680000,3,3.66,4.52,1.9
3769,Kepler-310 c,Kepler-310,56.47542,0.281,3.38,11.4,1.62,0.0,417.0,47.0,5797.0,0.88,0.91,602.2680000,3,7.11,4.52,1.9
3770,Kepler-310 b,Kepler-310,13.930698,0.111,1.19,1.81,5.9,0.0,665.0,18.5,5797.0,0.88,0.91,602.2680000,3,45.97,4.52,1.9
3771,Kepler-31 d,Kepler-31,87.6451,0.4,3.9,2161.244,34.78145967266004,0.0,484.0,46.3,6340.0,1.22,1.21,1664.6400000,3,13.49,4.7,0.28
3772,Kepler-31 c,Kepler-31,42.6318,0.26,5.3,1493.7,34.78145967266004,0.0,615.0,28.7,6340.0,1.22,1.21,1664.6400000,3,35.25,4.7,0.28
3773,Kepler-31 b,Kepler-31,20.8613,0.16,5.5,25.9,0.855,0.0,781.0,31.855,6340.0,1.22,1.21,1664.6400000,3,91.47,4.7,0.28
3774,Kepler-309 c,Kepler-309,105.356383,0.401,2.51,6.85,2.38,0.0,204.0,79.0,4713.0,0.72,0.67,544.5680000,2,2.14,4.61,3.02
3775,Kepler-309 b,Kepler-309,5.923653,0.059,1.56,3.05,4.41,0.0,531.0,17.51,4713.0,0.72,0.67,544.5680000,2,99.49,4.61,3.02
3776,Kepler-308 c,Kepler-308,15.38231,0.123,2.16,5.31,2.9,0.0,714.0,31.47,5895.0,0.94,0.92,1335.9200000,2,58.68,4.51,0.5
3777,Kepler-308 b,Kepler-308,9.694928,0.09,2.12,5.14,2.96,0.0,833.0,27.7,5895.0,0.94,0.92,1335.9200000,2,108.64,4.51,0.5
3778,Kepler-307 c,Kepler-307,13.0729,0.1068,2.2,3.64,1.74,0.0,739.0,20.34,5367.0,0.81,0.91,575.5810000,2,44.0,4.46,13.5
3779,Kepler-307 b,Kepler-307,10.4208,0.0917,2.43,7.44,2.62,0.0,797.0,22.4,5367.0,0.81,0.91,575.5810000,2,59.7,4.46,13.5
3780,Kepler-306 e,Kepler-306,44.840975,0.227,2.27,5.77,2.71,0.0,390.0,63.9,4954.0,0.72,0.81,775.6790000,4,6.18,4.61,2.63
3781,Kepler-306 d,Kepler-306,17.326644,0.12,2.47,6.66,2.43,0.0,535.0,28.64,4954.0,0.72,0.81,775.6790000,4,21.98,4.61,2.63
3782,Kepler-306 c,Kepler-306,7.240193,0.067,2.35,6.12,2.59,0.0,716.0,19.58,4954.0,0.72,0.81,775.6790000,4,70.45,4.61,2.63
