,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
410,2.292102,0.03689,15.693,597.5204,0.83,0.229,1856.0,5.36,6060.0,1.48,1.27,0.22,800.377,1.0,1637.21,4.2,3.26
411,4.3888497,0.04944,13.227,82.95363,0.191,0.173,1003.0,13.04,5099.0,0.81,0.84,0.05,362.273,1.0,192.23,4.54,8.6
412,2.7439004,0.03649,11.96,177.9848,0.56,0.279,1161.0,9.24,5080.0,0.85,0.86,0.32,446.035,1.0,306.42,4.51,9.7
413,4.1876244,0.05511,14.415,222.481,0.41,0.24,1518.0,9.02,6450.0,1.32,1.27,0.02,772.11,1.0,811.35,4.31,1.52
414,4.7423729,0.05367,10.122,54.98459,0.28,0.559,1054.0,13.55,5495.0,0.85,0.92,-0.06,453.808,1.0,209.77,4.54,3.0
415,3.9228038,0.04269,12.52,117.27927,0.331,0.088,853.0,13.98,4512.0,0.66,0.67,-0.113,300.67,1.0,87.73,4.63,8.1
416,3.1316666,0.03769,8.967,77.23269,0.589,0.162,955.0,11.33,4546.0,0.72,0.73,0.186,263.609,1.0,137.6,4.59,11.97
417,4.1480467,0.04515,8.575,112.19399,0.986,0.071,835.0,13.91,4405.0,0.7,0.71,0.208,324.413,1.0,80.45,4.6,10.5
418,4.763387,0.0542,10.223,75.323,0.39,0.019,1025.0,13.38,5304.0,0.87,0.94,0.19,246.384,1.0,183.24,4.53,3.6
421,1.36665436,0.02498,15.491,711.9392,1.06,0.246,1834.0,5.14,6010.0,1.05,1.11,-0.284,555.134,1.0,1310.22,4.45,1.2
423,2.5441765,0.037,11.377,239.32479,0.77,0.0,1429.0,6.48,5621.0,1.23,1.05,0.37,748.585,1.0,476.97,4.2,7.96
424,4.2042001,0.05412,14.022,292.72143,0.587,0.092,1367.0,10.33,6214.0,1.13,1.2,0.108,609.838,1.0,355.91,4.41,0.4
425,4.324799,0.06043,18.921,191.33366,0.155,0.019,1902.0,5.902,6536.0,2.2,1.57,0.19,564.409,1.0,1080.87,3.95,1.894
426,2.350621,0.03493,12.767,1000.21101,2.65,0.028,1413.0,7.82,5587.0,0.96,1.03,0.268,279.485,1.0,570.23,4.48,2.5
428,5.416081,0.06112,12.621,256.17098,0.7,0.129,1128.0,12.66,5670.0,1.04,1.04,0.18,642.884,2.0,269.0,4.42,4.3
429,1422.0,2.504,12.3,4036.441,11.9,0.083,176.0,518.0,5670.0,1.04,1.04,0.18,642.884,2.0,0.16,4.42,4.3
430,3.3252725,0.03623,11.187,101.38777,0.399,0.0,713.0,13.65,3724.0,0.57,0.57,0.2,169.318,1.0,47.33,4.68,8.1
431,3.560829,0.04708,12.924,210.40346,0.537,0.191,1528.0,6.93,5688.0,1.46,1.1,0.335,486.474,1.0,903.9,4.15,7.55
432,7.817953,0.07908,13.395,1080.622,2.47,0.092,1226.0,10.23,5542.0,1.66,1.08,0.247,679.761,1.0,374.2,4.03,8.9
433,3.2768837,0.04163,11.825,56.89157,0.076,0.298,1237.0,9.59,5416.0,0.93,0.9,0.133,523.067,1.0,387.4,4.45,9.55
434,3.0566527,0.04026,13.529,305.1168,0.67,0.136,1398.0,8.09,5627.0,1.07,0.93,0.081,623.232,1.0,634.1,4.35,10.3
435,4.908897,0.06562,18.82,305.1168,0.245,0.151,1793.0,6.68,6554.0,2.11,1.56,0.22,1080.15,1.0,1711.0,3.98,1.861
436,3.105161,0.04497,16.825,260.93843,0.3,0.062,1634.0,7.38,6277.0,1.31,1.26,0.199,493.32,1.0,1178.0,4.3,1.78
437,3.1414391,0.04714,15.816,1694.0339,2.34,0.064,1998.0,5.5,6626.0,1.84,1.41,-0.017,1477.98,1.0,2637.0,4.06,2.17
438,1.6091788,0.03032,18.887,460.8535,0.374,0.057,2193.0,4.526,6594.0,1.44,1.44,0.332,960.109,1.0,3821.0,4.28,0.51
439,3.5862202,0.05071,13.809,410.0007,0.856,0.036,1741.0,6.232,6147.0,1.75,1.35,0.21,603.955,1.0,1521.0,4.08,3.02
440,2.2252577,0.03211,10.593,183.38791,0.46,0.519,1296.0,7.859,5137.0,0.88,0.89,0.377,414.537,1.0,466.6,4.5,8.0
441,3.185315,0.04012,6.311,38.1396,0.83,0.17,1084.0,10.59,4985.0,0.82,0.85,0.25,240.707,1.0,211.62,4.54,7.8
442,1.8882378,0.03632,15.513,4100.007,6.64,0.18,2730.0,4.17,7930.0,1.88,1.78,0.041,1458.83,1.0,9110.0,4.17,0.81
443,3.7955202,0.03745,11.478,117.5971,0.42,0.0,587.0,16.84,3405.0,0.48,0.49,0.17,140.225,1.0,18.08,4.77,3.2
444,7.3279474,0.066517,8.097,39.85588,0.411,0.013,739.0,19.821,4656.1,0.72,0.73,0.099,127.589,1.0,49.58,4.59,12.17
445,1.73185606,0.02384,11.568,464.02947,1.64,0.044,895.0,8.9,3776.9,0.58,0.6,0.514,299.389,1.0,106.9,4.7,11.0
446,2.7886556,0.032742,9.909,156.05375,0.878,0.064,772.0,12.037,3790.4,0.58,0.6,0.522,194.964,1.0,59.26,4.68,14.9
447,1.9416423,0.02658,12.094,835.57088,2.58,0.062,940.0,9.12,4016.0,0.63,0.66,0.322,385.689,1.0,129.8,4.67,4.6
448,3.0876262,0.03607,13.058,436.69623,1.077,0.045,828.0,12.06,4071.0,0.64,0.66,0.253,436.176,1.0,78.37,4.64,12.1
482,9.55237,0.0907,2.44,12.6,4.7,0.093,1153.0,15.07,6327.0,1.3,1.09,-0.311,109.353,2.0,240.0,4.25,4.48
483,21.05704,0.1536,4.35,15.2,1.01,0.22,886.0,25.5,6327.0,1.3,1.09,-0.311,109.353,2.0,83.0,4.25,4.48
491,3.795963,0.04527,1.615,3.24,4.23,0.045,1099.0,11.35,5660.0,0.88,0.87,-0.28,64.5978,5.0,312.18,4.49,6.7
492,6.203449,0.062,2.071,4.94,3.06,0.034,932.0,15.78,5660.0,0.88,0.87,-0.28,64.5978,5.0,162.17,4.49,6.7
493,14.175685,0.1074,2.539,6.98,2.34,0.055,708.0,27.39,5660.0,0.88,0.87,-0.28,64.5978,5.0,53.88,4.49,6.7
494,19.590025,0.1367,3.083,9.71,1.82,0.058,636.0,33.9,5660.0,0.88,0.87,-0.28,64.5978,5.0,35.0,4.49,6.7
510,10.18271,0.113,3.2,10.3,1.73,0.2,957.0,20.0,6200.0,1.19,1.21,0.08,105.096,1.0,198.39,4.2,0.25
586,11.57797,0.0964,1.664,4.72,5.623888,0.0,905.0,19.6,5664.0,1.06,0.87,-0.24,14.682,3.0,111.6,4.39,12.3
587,27.59221,0.1721,2.916,11.24,2.497668,0.0,677.0,34.97,5664.0,1.06,0.87,-0.24,14.682,3.0,35.1,4.39,12.3
588,107.245,0.425,2.562,8.82,2.878108,0.0,431.0,86.46,5664.0,1.06,0.87,-0.24,14.682,3.0,5.74,4.39,12.3
601,11.53533,0.1097,11.5,131.89945,0.477,0.251,1228.0,10.1,5521.0,2.34,1.32,0.29,79.5702,1.0,356.0,3.82,4.51
637,2.87589,0.04364,8.295,120.7754,0.75,0.0,1626.0,6.8,6179.0,1.41,1.42,0.32,75.8643,1.0,1530.04,4.37,2.6
649,4.75615,0.0522,1.64,7.51,9.3,0.09,1001.0,13.11,5125.0,0.86,0.9,0.15,44.8155,2.0,161.73,4.53,5.1
650,17.1784,0.1268,2.39,8.11,3.23,0.05,642.0,31.87,5125.0,0.86,0.9,0.15,44.8155,2.0,29.18,4.53,5.1
701,1207.0,2.16,13.3,116.0,0.271,0.08,159.0,454.9,5390.0,0.95,0.93,0.18,22.0016,4.0,0.16,4.46,9.58
702,75.74,0.341,3.66,13.0,1.46,0.12,400.0,72.1,5390.0,0.95,0.93,0.18,22.0016,4.0,6.29,4.46,9.58
723,21.21663,0.16278,12.33,1115.5833,3.78,0.68,883.0,23.34,6040.0,1.55,1.41,0.19,78.0863,1.0,17.44,4.2,3.37
753,17.471278,0.1334,3.55,19.7,2.39,0.28,769.0,29.1,5788.0,0.99,1.03,-0.023,57.2651,1.0,58.1,4.5,2.6
758,4.1374354,0.048,2.6,24.1,7.5,0.34,863.0,14.1,5145.0,0.77,0.86,0.0,38.5653,1.0,145.0,4.54,0.4
767,2.21857567,0.03126,12.666,359.1479,0.943,0.0,1209.0,8.84,5052.0,0.75,0.79,-0.02,19.7638,1.0,356.0,4.49,1.4
775,8.8803256,0.0804,3.41,10.0,1.4,0.031,880.0,18.36,5348.0,0.94,0.81,-0.15,53.6089,6.0,100.0,4.3,8.7
