,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
426,2.350621,0.03493,12.767,1000.21101,2.65,0.028,1413.0,7.82,5587.0,0.96,1.03,0.268,279.485
428,5.416081,0.06112,12.621,256.17098,0.7,0.129,1128.0,12.66,5670.0,1.04,1.04,0.18,642.884
429,1422.0,2.504,12.3,4036.441,11.9,0.083,176.0,518.0,5670.0,1.04,1.04,0.18,642.884
430,3.3252725,0.03623,11.187,101.38777,0.399,0.0,713.0,13.65,3724.0,0.57,0.57,0.2,169.318
431,3.560829,0.04708,12.924,210.40346,0.537,0.191,1528.0,6.93,5688.0,1.46,1.1,0.335,486.474
432,7.817953,0.07908,13.395,1080.622,2.47,0.092,1226.0,10.23,5542.0,1.66,1.08,0.247,679.761
433,3.2768837,0.04163,11.825,56.89157,0.076,0.298,1237.0,9.59,5416.0,0.93,0.9,0.133,523.067
434,3.0566527,0.04026,13.529,305.1168,0.67,0.136,1398.0,8.09,5627.0,1.07,0.93,0.081,623.232
435,4.908897,0.06562,18.82,305.1168,0.245,0.151,1793.0,6.68,6554.0,2.11,1.56,0.22,1080.15
436,3.105161,0.04497,16.825,260.93843,0.3,0.062,1634.0,7.38,6277.0,1.31,1.26,0.199,493.32
437,3.1414391,0.04714,15.816,1694.0339,2.34,0.064,1998.0,5.5,6626.0,1.84,1.41,-0.017,1477.98
438,1.6091788,0.03032,18.887,460.8535,0.374,0.057,2193.0,4.526,6594.0,1.44,1.44,0.332,960.109
439,3.5862202,0.05071,13.809,410.0007,0.856,0.036,1741.0,6.232,6147.0,1.75,1.35,0.21,603.955
440,2.2252577,0.03211,10.593,183.38791,0.46,0.519,1296.0,7.859,5137.0,0.88,0.89,0.377,414.537
441,3.185315,0.04012,6.311,38.1396,0.83,0.17,1084.0,10.59,4985.0,0.82,0.85,0.25,240.707
442,1.8882378,0.03632,15.513,4100.007,6.64,0.18,2730.0,4.17,7930.0,1.88,1.78,0.041,1458.83
443,3.7955202,0.03745,11.478,117.5971,0.42,0.0,587.0,16.84,3405.0,0.48,0.49,0.17,140.225
444,7.3279474,0.066517,8.097,39.85588,0.411,0.013,739.0,19.821,4656.1,0.72,0.73,0.099,127.589
445,1.73185606,0.02384,11.568,464.02947,1.64,0.044,895.0,8.9,3776.9,0.58,0.6,0.514,299.389
446,2.7886556,0.032742,9.909,156.05375,0.878,0.064,772.0,12.037,3790.4,0.58,0.6,0.522,194.964
447,1.9416423,0.02658,12.094,835.57088,2.58,0.062,940.0,9.12,4016.0,0.63,0.66,0.322,385.689
448,3.0876262,0.03607,13.058,436.69623,1.077,0.045,828.0,12.06,4071.0,0.64,0.66,0.253,436.176
449,3.583893,0.04667,9.785,43.86054,0.259,0.376,1324.0,9.21,5679.0,1.09,1.06,0.21,794.637
450,1.915291,0.0312,13.85,266.02371,0.626,0.075,1746.0,4.44,5599.0,1.56,1.1,0.38,638.7
482,9.55237,0.0907,2.44,12.6,4.7,0.093,1153.0,15.07,6327.0,1.3,1.09,-0.311,109.353
483,21.05704,0.1536,4.35,15.2,1.01,0.22,886.0,25.5,6327.0,1.3,1.09,-0.311,109.353
491,3.795963,0.04527,1.615,3.24,4.23,0.045,1099.0,11.35,5660.0,0.88,0.87,-0.28,64.5978
492,6.203449,0.062,2.071,4.94,3.06,0.034,932.0,15.78,5660.0,0.88,0.87,-0.28,64.5978
493,14.175685,0.1074,2.539,6.98,2.34,0.055,708.0,27.39,5660.0,0.88,0.87,-0.28,64.5978
494,19.590025,0.1367,3.083,9.71,1.82,0.058,636.0,33.9,5660.0,0.88,0.87,-0.28,64.5978
503,520.1,1.259,13.2,950.30694,2.27,0.338,259.0,248.5,5694.0,1.09,0.98,0.05,55.4156
510,10.18271,0.113,3.2,10.3,1.73,0.2,957.0,20.0,6200.0,1.19,1.21,0.08,105.096
538,3700.0,5.0,12.6,2634.79749,7.24,0.487,145.0,903.0,5957.0,1.21,1.18,0.34,87.6437
586,11.57797,0.0964,1.664,4.72,5.623888,0.0,905.0,19.6,5664.0,1.06,0.87,-0.24,14.682
587,27.59221,0.1721,2.916,11.24,2.497668,0.0,677.0,34.97,5664.0,1.06,0.87,-0.24,14.682
588,107.245,0.425,2.562,8.82,2.878108,0.0,431.0,86.46,5664.0,1.06,0.87,-0.24,14.682
593,1.62116,0.02732,1.31,4.04,10.49,0.0,2130.0,3.7,5799.0,1.59,1.04,-0.03,155.317
601,11.53533,0.1097,11.5,131.89945,0.477,0.251,1228.0,10.1,5521.0,2.34,1.32,0.29,79.5702
637,2.87589,0.04364,8.295,120.7754,0.75,0.0,1626.0,6.8,6179.0,1.41,1.42,0.32,75.8643
649,4.75615,0.0522,1.64,7.51,9.3,0.09,1001.0,13.11,5125.0,0.86,0.9,0.15,44.8155
650,17.1784,0.1268,2.39,8.11,3.23,0.05,642.0,31.87,5125.0,0.86,0.9,0.15,44.8155
701,1207.0,2.16,13.3,116.0,0.271,0.08,159.0,454.9,5390.0,0.95,0.93,0.18,22.0016
702,75.74,0.341,3.66,13.0,1.46,0.12,400.0,72.1,5390.0,0.95,0.93,0.18,22.0016
723,21.21663,0.16278,12.33,1115.5833,3.78,0.68,883.0,23.34,6040.0,1.55,1.41,0.19,78.0863
753,17.471278,0.1334,3.55,19.7,2.39,0.28,769.0,29.1,5788.0,0.99,1.03,-0.023,57.2651
758,4.1374354,0.048,2.6,24.1,7.5,0.34,863.0,14.1,5145.0,0.77,0.86,0.0,38.5653
767,2.21857567,0.03126,12.666,359.1479,0.943,0.0,1209.0,8.84,5052.0,0.75,0.79,-0.02,19.7638
775,8.8803256,0.0804,3.41,10.0,1.4,0.031,880.0,18.36,5348.0,0.94,0.81,-0.15,53.6089
776,28.579743,0.1752,3.195,8.0,1.35,0.034,600.0,40.0,5348.0,0.94,0.81,-0.15,53.6089
777,38.353037,0.2132,2.995,2.8,0.57,0.031,540.0,48.7,5348.0,0.94,0.81,-0.15,53.6089
778,101.12,0.407,13.0,112.2,0.281,0.031,390.0,92.9,5348.0,0.94,0.81,-0.15,53.6089
779,2200.0,3.2,13.4,660.0,1.51,0.0,125.0,730.0,5348.0,0.94,0.81,-0.15,53.6089
780,284.0,0.812,3.74,13.5,1.42,0.03,278.0,186.0,5348.0,0.94,0.81,-0.15,53.6089
801,3.308958,0.05208,17.318,323.23311,0.343,0.038,2132.0,4.33,6272.0,2.59,1.72,0.3,161.498
803,0.926118,0.018,1.72,7.42,8.06,0.0,2141.0,3.42,5596.0,1.13,0.9,-0.07,63.6796
825,16.202159,0.1163,2.501,14.4,5.05,0.047,632.0,32.13,5070.0,0.78,0.8,-0.042,28.2938
834,3.52474859,0.04707,15.581,232.0159,0.362,0.0,1459.0,8.81,6091.0,1.19,1.23,0.01,48.3016
838,223.8,0.768,12.8,1760.76937,4.61,0.084,380.0,136.9,6273.0,1.21,1.2,0.18,83.0919
846,1.008035,0.02012,1.745,8.83,9.15,0.0,2128.0,3.927,5978.0,1.1,1.07,-0.04,48.0883
881,6.03607,0.06356,4.71,16.6,0.87,0.0,1073.0,13.27,5527.0,1.03,0.92,0.04,94.1719
890,14.2767,0.1228,9.17,60.5,0.431,0.115,789.0,8.97,5080.0,2.94,1.21,-0.08,95.5483
