,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius_[earth_radius],planet_mass_or_mass*sin(i)_[earth_mass],planet_density_[g/cm**3],eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
1069,HD 63765 b,HD 63765,358.00000000,0.940000,14.200,168.44990,0.323000,0.240000, , ,5449.00,0.83,0.65,-0.160,32.5376000
1070,HD 63935 b,HD 63935,9.05881100, ,2.990,10.80000,2.200000,0.000000,911,18.640000,5534.00,0.96,0.93,0.070,48.9739000
1071,HD 63935 c,HD 63935,21.40230000, ,2.900,11.10000,2.500000,0.000000,684,33.060000,5534.00,0.96,0.93,0.070,48.9739000
1072,HD 64114 b,HD 64114,45.79100000,0.246000,4.410,17.80000,1.140000,0.120000, , ,5676.00,0.88,0.95, ,31.5262000
1073,HD 64121 b,HD 64121,623.00000000,1.510000,13.200,813.64072,1.940000,0.110000, , ,5078.00,5.44,1.64,-0.210,129.9660000
1074,HD 6434 b,HD 6434,21.99800000,0.140000,14.200,155.73670,0.299000,0.170000, , ,5769.00,1.12,1.10,-0.550,42.3580000
1075,HD 65216 b,HD 65216,577.60000000,1.301000,13.600,411.58985,0.899000,0.270000, , ,5612.00,0.88,0.87,-0.168,35.1205000
1076,HD 65216 c,HD 65216,5370.00000000,5.750000,13.400,645.19490,1.470000,0.170000, , ,5612.00,0.89,0.87,-0.168,35.1205000
1077,HD 66141 b,HD 66141,480.50000000,1.200000,12.800,1906.90000,5.000000,0.070000, , ,4323.00,21.40,1.10,-0.323,68.1509000
1078,HD 66428 b,HD 66428,2269.81725722,3.392910,12.400,3426.60694,9.880000,0.470522, , ,5716.00,1.13,1.01,0.230,53.2817000
1079,HD 66428 c,HD 66428,10478.84436542,9.418207,13.300,768.28680,1.790000,0.207329, , ,5647.60,1.17,1.01,0.271,53.2817000
1080,HD 67087 b,HD 67087,352.20000000,1.080000,13.100,973.00000,2.380000,0.170000, , ,6330.00,1.55,1.36,0.250,76.5217000
1081,HD 67087 c,HD 67087,2374.00000000,3.860000,12.900,1540.00000,3.940000,0.760000, , ,6330.00,1.55,1.36,0.250,76.5217000
1082,HD 6718 b,HD 6718,2496.00000000,3.550000,13.500,533.95440,1.190000,0.100000, , ,5801.00,0.95,1.08,-0.030,51.3444000
1083,HD 68402 b,HD 68402,1103.00000000,2.180000,13.100,975.73810,2.390000,0.030000, , ,5950.00,1.02,1.12,0.290,78.4293000
1084,HD 68988 b,HD 68988,6.27711000,0.070000,13.400,626.12510,1.430000,0.120000, , ,5932.00,1.19,1.28,0.350,60.8447000
1085,HD 68988 c,HD 68988,16000.00000000,13.200000,12.300,4767.42610,14.100000,0.450000, , ,5883.41,1.26,1.17,0.305,60.8447000
1086,HD 69123 b,HD 69123,1193.30000000,2.482000,13.100,966.19836,2.360000,0.190000, , ,4842.00,7.72,1.68,0.050,75.1160000
1087,HD 69830 b,HD 69830,8.66700000,0.078500,3.170,10.20000,1.760000,0.100000, , ,5385.00,0.89,0.86,-0.050,12.5591000
1088,HD 69830 c,HD 69830,31.56000000,0.186000,3.460,11.80000,1.570000,0.130000, , ,5385.00,0.89,0.86,-0.050,12.5591000
1089,HD 69830 d,HD 69830,197.00000000,0.630000,4.450,18.10000,1.130000,0.070000, , ,5385.00,0.89,0.86,-0.050,12.5591000
1090,HD 70573 b,HD 70573,851.80000000,1.760000,12.800,1900.00000,4.980000,0.400000, , ,5737.00,0.98,1.00,-0.180,59.1820000
1091,HD 70642 b,HD 70642,2124.54000000,3.318000,13.400,633.43519,1.450000,0.175000, , ,5732.00,0.98,1.08,0.220,29.2760000
1092,HD 7199 b,HD 7199,615.00000000,1.360000,11.100,85.81410,0.345000,0.190000, , ,5371.00,0.97,0.77,0.320,36.1531000
1093,HD 72490 b,HD 72490,858.00000000,1.880000,13.500,561.92344,1.260000,0.124000, , ,4934.00,4.96,1.21,-0.130,126.3390000
1094,HD 72659 b,HD 72659,3549.39853518,4.689125,13.100,1071.53588,2.620000,0.257128, , ,5932.00,1.46,1.09,0.014,51.8949000
1095,HD 72659 c,HD 72659,18207.72098165,13.940621,12.100,5948.05833,18.400000,0.091341, , ,5932.00,1.46,1.09,0.014,51.8949000
1096,HD 72892 b,HD 72892,39.44603442,0.227825,12.800,1736.44828,4.550000,0.418755, , ,5688.00,1.22,1.01,0.250,69.7311000
1097,HD 73267 b,HD 73267,1257.99159045,2.227469,13.000,1325.38828,3.320000,0.261289, , ,5387.00,0.91,0.93,0.030,50.4093000
1098,HD 73267 c,HD 73267,17071.78044733,12.621165,12.800,1716.49961,4.500000,0.089366, , ,5387.00,0.96,0.93,0.030,50.4093000
1099,HD 73526 b,HD 73526,188.30000000,0.650000,13.100,978.91640,2.390000,0.190000, , ,5601.00,1.53,1.14,0.220,97.2396000
1100,HD 73526 c,HD 73526,379.10000000,1.030000,13.300,715.09000,1.670000,0.280000, , ,5633.00,1.53,1.01,0.232,97.2396000
1101,HD 73534 b,HD 73534,1750.00000000,2.990000,13.700,353.42696,0.755000,0.126000, , ,4917.00,2.58,1.16,0.232,83.3321000
1102,HD 73583 b,HD 73583,6.39804200,0.060400,2.790,10.20000,2.580000,0.090000,714,19.980000,4511.00,0.65,0.73,0.000,31.5666000
1103,HD 73583 c,HD 73583,18.87974000,0.124200,2.390,9.70000,3.880000,0.080000,498,41.110000,4511.00,0.65,0.73,0.000,31.5666000
1104,HD 74156 b,HD 74156,51.63563941,0.280148,13.500,531.83222,1.190000,0.635643, , ,6068.00,1.51,1.10,0.110,57.6030000
1105,HD 74156 c,HD 74156,2448.48726302,3.676463,12.500,2894.47226,8.140000,0.377277, , ,6068.00,1.51,1.10,0.110,57.6030000
1106,HD 7449 b,HD 7449,1270.55194905,2.438550,12.600,2652.63439,7.290000,0.751956, , ,6024.00,0.97,1.20,-0.105,38.6620000
1107,HD 75289 b,HD 75289,3.50927000,0.050000,14.200,155.73670,0.299000,0.030000,1260, ,6117.00,1.23,1.29,0.260,29.1158000
1108,HD 75784 b,HD 75784,341.20000000,1.032000,13.800,317.83000,0.665000,0.097000, , ,4867.00,3.40,1.26,0.250,85.4321000
1109,HD 75784 c,HD 75784,7900.00000000,8.400000,12.800,1792.56120,4.700000,0.489000, , ,4867.00,3.40,1.26,0.280,85.4321000
1110,HD 75898 b,HD 75898,422.90000000,1.191000,13.200,861.31930,2.060000,0.110000, , ,5963.00,1.58,1.26,0.280,78.0505000
1111,HD 76700 b,HD 76700,3.97097000,0.050000,9.600,66.74430,0.415000,0.090000, , ,5644.00,1.37,0.99,0.310,60.8831000
1112,HD 76920 b,HD 76920,415.40000000,1.149000,13.000,1249.07190,3.120000,0.856000, , ,4698.00,7.47,1.17,-0.110,184.0310000
1113,HD 77338 b,HD 77338,5.73610000,0.060000,4.120,15.90000,1.250000,0.090000, , ,5341.00,0.97,1.37,0.320,45.9350000
1114,HD 79181 b,HD 79181,273.10000000,0.900000,14.100,203.41018,0.399000,0.259000, , ,4862.00,11.06,1.28,-0.280,103.3350000
1115,HD 7924 b,HD 7924,5.39792000,0.060000,2.400,6.35660,2.530000,0.060000,826, ,5131.00,0.78,0.65,-0.210,16.9922000
1116,HD 7924 c,HD 7924,15.29900000,0.113400,2.720,7.86000,2.150000,0.098000,584, ,5075.00,0.78,0.83,-0.150,16.9922000
1117,HD 7924 d,HD 7924,24.45100000,0.155100,2.420,6.44000,2.500000,0.210000,499, ,5075.00,0.78,0.83,-0.150,16.9922000
1118,HD 79498 b,HD 79498,1807.00000000,2.980000,13.600,425.89220,0.930000,0.575000, , ,5748.00,1.05,1.08,0.180,48.9489000
