,orbital_period_[days],equilibrium_temperature_[k],orbit_semi-major_axis_[au])
1552,0.549372,2100.0,0.00812
1553,3.208664,1927.0,0.04882
1554,20.7095,470.0,0.1275
1555,15.231915,521.0,0.1039
1556,9.961881,600.0,0.0783
1557,6.5577,690.0,0.0592
1558,3.23845,873.0,0.037
1559,1.914558,1040.0,0.02607
1560,18.85019,443.0,0.1177
1561,9.0497,533.0,0.0707
1562,4.4929,673.0,0.0443
1563,2.38839,831.0,0.0291
1564,3.49151,767.0,0.0391
1565,9.47725,1198.0,0.0914
1566,24.283429,800.0,0.16
1567,2.500311,489.0,0.0229
1568,3.1342791,698.0,0.033548
1571,1.7666957,764.0,0.0226
1572,2.2554477,1715.0,0.03524
1573,0.6691403,1069.0,0.011557
1574,40.74976,684.0,0.249
1575,10.98462,1062.0,0.103
1577,0.989343,924.0,0.01545
1578,4.231306,1669.0,0.058
1579,5.331751,1619.0,0.06864
1580,2.0845435,1588.0,0.03138
1581,1.902603,2492.0,0.0389
1583,5.857487,1404.0,0.07037
1584,10.180249,918.0,0.0903
1587,11.06201,326.0,0.061
1590,0.4090677,1072.0,0.0071
1591,2.650237,2370.0,0.046
1592,12.9972,867.0,0.108
1593,1.4520358,1136.0,0.023
1594,95.174,255.0,0.4607
1595,4.720219,1679.0,0.0626
1596,2.1097019,1395.0,0.026
1597,4.537164,1388.0,0.059
1598,3.9443715,1562.0,0.0497
1600,2.699835,1266.0,0.0429
1601,14.47567,408.0,0.095
1602,8.689,697.0,0.0783
1603,3.31599,961.0,0.0412
1604,8.1577094,919.0,0.0711
1605,18.80151,344.0,0.1058
1606,10.894843,413.0,0.0736
1607,16.608164,499.0,0.1116
1608,7.493134,651.0,0.0657
1609,3.127463,871.0,0.0367
1610,3.477978,963.0,0.0407
1611,19.98,638.0,0.137
1612,9.15059,828.0,0.0814
1613,4.65382,1037.0,0.05186
1614,37.9216,462.0,0.211
1615,18.6559,586.0,0.131
1616,5.904144,860.0,0.061
1617,4.30744,955.0,0.049
1618,3.444717,775.0,0.03826
1619,24.245586,330.0,0.1288
1620,27.36397,244.0,0.0886
1621,5.07803,471.0,0.0392
1622,2.4919863,703.0,0.0287
1630,8.350381,637.0,0.07098
1631,4.066499,810.0,0.04394
1632,4.0782387,1728.0,0.0561
1633,0.6047328,1323.0,0.01159
1634,12.226574,634.0,0.09429
1635,6.443868,784.0,0.06152
1636,7.972,859.0,0.08
1637,4.11296,1077.0,0.052
1638,3.660028,1762.0,0.051
1639,15.168865,974.0,0.1207
1648,9.8658,301.0,0.0496
1650,3165.0796094172,1975.0,157.0
1652,1.540731,1134.0,0.0234
1653,3.71495,1457.0,0.0474
1654,2.032046,2053.0,0.0352
1655,3.506195,1006.0,0.0423
1656,2.8792319,1415.0,0.04127
1657,1.8053564,1385.0,0.02803
1658,2.5079204,1681.0,0.03783
1659,1.33711647,1344.0,0.02153
1660,1.645321,1955.0,0.0286
1661,1.4200242,1418.0,0.02332
1662,11.1868,234.0,0.04856
1674,282.5255,281.0,0.828
1675,138.317,481.0,0.652
1676,3165.0796094172,995.0,34.0
1677,43500.0,1204.0,20.0
1678,7300000.0,2175.0,243.0
1679,2.4855335,2034.0,0.0308
1680,1.2119189,2212.0,0.02383
1681,3.67724,1686.0,0.051
1682,3.9791,1550.0,0.051
1683,1.689868,2013.0,0.03035
1684,1.4324752,1342.0,0.02289
1685,4.0144463,1019.0,0.0473
1686,3.101278,1702.0,0.0434
1767,4927.5,59.0,4.5
1768,1788.5,82.0,2.3
1769,3285.0,50.0,2.6
