,orbit_semi-major_axis_[au]),equilibrium_temperature_[k],insolation_flux_earth,orbital_period_[days]
537,11.294908, , ,15319.22517076
538,5.0,145,0.06,3700.0
539,1.65, , ,670.0
541,3.787, , ,2621.75
542,1.09, , ,433.70001
543,0.18, , ,25.8
544,0.07,1509,861.55,6.1335
545,3.16, , ,1945.0
546,0.229, , ,37.91
547,1.93, , ,711.0
548,4.332646, , ,2085.10024027
549,0.33, , ,63.33
550,0.053918, , ,4.36304899
551,22.187701, , ,36336.70678753
552,0.406294, , ,84.96275604
553,0.86, , ,270.66
554,0.297, , ,58.83
555,10.780317, , ,14901.99295308
556,3.49516, , ,1757.39150946
557,0.08, , ,9.6737
558,1.348279, , ,557.69994314
559,0.051386, , ,4.15466389
560,3.979432, , ,2822.726978
561,0.54, , ,133.60001
562,1.837, , ,960.41
563,0.84, , ,262.70862
564,2.8145, , ,1708.0
565,2.248182, , ,1257.25302691
566,0.287149, , ,65.78395386
567,1.084, , ,453.019
568,1.74, , ,921.538
569,0.87, , ,298.2
570,2.9, , ,1840.0
571,0.0925,720, ,10.70871
572,2.01, , ,896.0
573,4.1, , ,2613.0
574,1.25, , ,471.60001
575,1.98, , ,974.0
576,2.62, , ,1544.0
577,1.44, , ,649.0
578,4.49, , ,3568.0
579,6.15, , ,5769.0
580,0.0444, , ,3.2696
581,2.3928, , ,1291.5646
582,0.81, , ,258.17999
583,5.8, , ,5000.0
584,4.183784, , ,2422.32596749
585,2.325263, , ,1187.5976527
586,0.0964,905,111.60,11.57797
587,0.1721,677,35.10,27.59221
588,0.425,431,5.74,107.245
589,1.29, , ,464.29999
590,5.13, , ,4540.0
591,0.534309, , ,142.22894586
592,0.89, , ,330.0
593,0.02732,2130, ,1.62116
594,1.2163,370, ,479.9
595,0.10519, , ,14.1815
596,0.2554, , ,53.753
597,0.154, , ,19.382
598,2.03, , ,931.0
599,5.15, , ,4218.0
600,2.948979, , ,1124.79139251
601,0.1097,1228,356.00,11.53533
602,5.250541, , ,2721.2347924
603,0.084501, , ,9.02377598
604,7.343138, , ,7417.50547213
605,0.1238, , ,15.5083
606,0.415, , ,94.44
607,0.689, , ,201.99
608,2.09, , ,1069.8
609,5.0, , ,5000.0
610,1.5, , ,653.21997
611,0.474065, , ,108.45298959
612,1.038376, , ,351.43394308
613,9.815941, , ,10159.64279484
614,2.93, , ,1928.0
615,2.78, , ,1299.0
616,1.06, , ,386.29999
617,0.0379, , ,2.1974
618,1.988, , ,1039.15
619,0.242129, , ,40.43913587
620,0.45, , ,103.95
621,0.76, , ,176.3
622,11.938641, , ,15732.45889178
623,4.888326, , ,2751.53433458
624,0.0634, , ,5.77152
625,0.1117, , ,13.5052
626,0.2388, , ,44.236
627,1.922, , ,1008.0
628,0.323, , ,86.78
629,1.32, , ,528.4
630,1.7, , ,676.6
631,0.522, , ,116.596
632,1.36, , ,491.54
633,2.45, , ,1027.0
634,0.993, , ,328.55
635,6.15, , ,5062.0
636,1.04, , ,331.5
637,0.04364,1626,1530.04,2.87589
638,0.053, , ,4.07182
639,12.278296, , ,16521.52777877
640,1.4, , ,562.0
641,1.262, , ,428.5
642,6.7, , ,5894.0
643,0.159926, , ,21.89287913
644,14.10056, , ,18144.7623572
645,4.187, , ,2918.92
646,1.66, , ,686.5
647,0.1053, ,255.70,11.6264
648,288.6525,1120,371.27,24.38
649,0.0522,1001,161.73,4.75615
650,0.1268,642,29.18,17.1784
651,0.068049, , ,7.29902668
652,0.111312, , ,15.27017677
653,21.349779, , ,40654.64809444
654,1.28, , ,499.39999
655,0.134, , ,18.56
656,4.21, , ,3341.55884
657,0.6, , ,163.94
658,1.29, , ,408.60001
659,5.36, , ,3452.0
660,1.04, , ,352.65
661,2.0, , ,818.8
662,0.63, , ,194.3
663,1.02, , ,391.9
664,0.030046, , ,1.87567261
665,13.125939, , ,17202.19446178
666,0.166479, , ,21.85848995
667,8.301568, , ,7841.58389773
668,0.501896, , ,133.40355381
669,5.484633, , ,4818.25358194
670,1.88, , ,842.2
671,0.05, , ,4.6455
