,planet_mass,planet_radius,planet_density
886,355.33394,13.7,0.759
887,460.8,13.6,1.01
888,1010.6994,13.1,2.47
889,982.05,13.1,2.4
890,60.5,9.17,0.431
891,6363.40183,12.1,19.7
892,511.7063,13.5,1.14
893,495.8148,13.5,1.11
894,673.7996,13.4,1.54
895,2660.2371,12.6,7.31
896,2234.17873,12.7,5.99
897,222.481,14.0,0.446
898,5.57,2.22,2.8
899,673.79622,13.4,1.54
900,4338.2,12.3,12.8
901,829.5363,13.2,1.98
902,485.32641,13.5,1.08
903,359.1479,13.7,0.768
904,2089.644,12.7,5.61
905,565.7374,13.5,1.26
906,8.32,2.0,6.15
907,3.41,1.87,3.1
908,0.55,0.75,7.5
909,0.72,0.818,7.5
910,0.77,1.137,3.0
911,3674.938,12.4,10.6
912,6.89,2.52,2.37
913,1906.98,12.8,5.0
914,1655.82,12.8,4.34
915,5050.3187,12.2,15.3
916,1226.8238,13.0,3.07
917,63.88351,9.35,0.429
918,4096.8287,12.3,12.1
919,11.8,3.46,1.57
920,2866.32778,12.5,8.06
921,290.81445,13.9,0.595
922,794.57102,13.3,1.86
923,38.02619,6.89,0.639
924,5253.17758,12.2,15.9
925,2.14,1.24,6.2
926,3.09,1.533,4.7
927,4290.68349,12.3,12.7
928,133.4886,14.3,0.251
929,371.8611,16.141,0.486
930,8.47,2.84,2.03
931,495.8,13.5,1.11
932,474.83802,13.6,1.04
933,196.85951,14.1,0.386
934,51.48846,8.24,0.506
935,2155.40718,12.7,5.78
936,1525.57635,12.9,3.91
937,18.496,2.199,9.56
938,7.943,4.23,0.577
939,5.681,3.25,0.909
940,1853.51476,12.8,4.86
941,6224.47064,12.1,19.3
942,98.81588,12.1,0.307
943,368.67,13.7,0.788
944,311.4734,13.8,0.651
945,8.4,2.83,2.04
946,490.09386,13.5,1.09
947,1420.69298,12.9,3.64
948,772.3269,13.3,1.8
949,498.9906,13.5,1.11
950,435.4271,13.6,0.951
951,1881.53397,12.8,4.93
952,2761.28875,12.5,7.77
