,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_surface_gravity
654,6124.0,1.28,1.25,4.32
655,5374.0,0.95,0.91,4.37
656,5468.0,0.85,0.71,4.43
657,5743.0,1.32,1.18,4.27
658,5589.0,2.3,1.96,4.01
659,5605.0,1.76,1.72,3.82
660,6239.0,1.76,1.22,4.26
661,4960.0,5.03,1.69,3.17
662,5905.0,1.38,1.15,4.22
663,5900.0,1.38,0.92,4.16
664,5771.84,1.02,1.03,4.43
665,5771.84,1.02,1.03,4.43
666,6419.19,2.76,1.29,3.67
667,6419.19,2.76,1.29,3.67
668,5453.0,0.95,0.94,4.46
669,5458.24,0.97,0.94,4.45
670,5900.0,2.16,1.25,4.07
671,4850.0,0.72,0.77,4.6
672,4903.69,0.77,0.79,4.55
673,6090.0,1.9,1.38,4.02
674,4860.0,4.5,1.3,3.24
675,5801.89,1.21,1.08,4.25
676,5801.89,1.21,1.08,4.25
677,5801.89,1.21,1.08,4.25
678,5801.89,1.21,1.08,4.25
679,5801.89,1.21,1.08,4.25
680,4069.0,50.3,1.8,1.4
681,6123.0,1.12,1.12,4.55
682,6123.0,1.12,1.12,4.55
683,5534.0,2.13,1.19,3.92
684,5534.0,2.13,1.19,3.92
685,4915.0,3.49,1.33,3.4
686,4915.0,3.49,1.33,3.4
687,5773.0,1.33,1.13,4.2
688,5773.0,1.33,1.13,4.2
689,5773.0,1.33,1.13,4.2
690,5773.0,1.33,1.13,4.2
691,4786.0,10.95,1.06,2.38
692,5757.0,1.48,1.11,4.14
693,5981.0,1.72,1.63,4.18
694,4723.0,0.75,0.42,4.31
695,5522.0,1.76,1.12,3.97
696,5522.0,1.76,1.12,3.97
697,5841.0,1.64,1.2,4.16
698,5859.0,1.11,1.12,4.44
699,5790.0,1.02,0.99,4.44
700,4684.0,0.77,0.77,4.62
701,5390.0,0.95,0.93,4.46
702,5390.0,0.95,0.93,4.46
703,5390.0,0.95,0.93,4.46
704,5393.43,1.0,0.92,4.4
705,5426.0,0.95,1.02,4.49
706,6317.0,1.93,1.5,4.06
707,5127.0,0.8,0.81,4.43
708,5010.0,4.3,1.72,3.29
709,4851.0,9.7,1.08,2.5
710,5778.33,1.21,0.99,4.27
711,5491.0,1.71,0.98,3.99
712,5491.0,1.71,0.98,3.99
713,5570.0,1.09,1.07,4.39
714,4905.0,0.78,0.8,4.56
715,4374.0,21.66,1.86,2.04
716,4866.12,0.77,0.79,4.56
717,6300.0,1.94,1.17,4.01
718,6179.26,1.94,1.17,4.01
719,5842.0,1.24,1.1,4.3
720,4326.0,13.58,6.73,3.0
721,5671.0,2.47,1.53,3.84
722,5440.0,1.01,0.96,4.43
723,6040.0,1.55,1.41,4.2
724,4683.0,13.5,2.0,2.48
725,4308.0,26.6,1.8,1.8
726,5635.0,1.75,1.0,4.09
727,5013.0,4.19,1.39,3.33
728,5392.0,0.7,0.71,4.64
729,5904.0,1.18,0.98,4.34
730,4931.0,0.78,0.79,4.44
731,4931.0,0.78,0.79,4.44
732,5627.0,0.97,1.0,4.39
733,4901.0,3.26,1.7,3.64
734,4949.0,2.62,1.47,3.65
735,5588.0,1.08,1.24,4.46
736,5646.0,1.63,1.14,4.16
737,6168.0,1.27,1.21,4.34
738,5131.0,4.06,1.75,3.54
