,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
3271,46.44,646.0,22.18329658,0.1486,1.02
3272,26.89,553.0,17.20523483,0.1192,0.79
3273,219.04,978.0,4.79859939,0.0546,0.9
3274,214.04,1009.0,4.301662,0.0497,0.9
3275,48.57,671.0,11.6092567,0.096,0.73
3276,124.35,850.0,5.7293196,0.06,0.73
3277,19.31,526.0,34.18890521,0.1981,0.93
3278,8.37,429.0,11.02347475,0.0794,0.53
3279,26.14,611.0,16.54297375,0.1229,0.79
3280,16.88,526.0,18.42794624,0.1247,0.79
3281,301.46,1063.0,4.24374723,0.0501,0.95
3282,389.4,1129.0,3.75083228,0.0484,0.92
3283,18.74,546.0,22.18432708,0.1418,0.77
3284,67.44,658.0,18.00931444,0.1333,0.9
3285,183.17,989.0,5.35016198,0.0593,0.94
3286,7.57,446.0,58.3620495,0.2918,0.94
3287,2.46,298.0,18.47764449,0.0899,0.33
3289,317.21,1087.0,21.40239,0.1652,4.23
3290,819.25,1378.0,10.5016,0.1028,4.23
3291,42.54,706.0,17.58752333,0.1277,0.95
3292,15.23,498.0,29.00790538,0.1759,0.81
3293,2885.66,1281.0,3.70598955,0.0469,1.16
3294,81.64,766.0,11.72292176,0.0973,0.98
3295,129.37,664.0,16.21775407,0.1201,1.04
3296,877.95,1346.0,1.90220856,0.0293,0.92
3297,0.6,224.0,328.2399546,0.9084,0.85
3298,210.01,970.0,4.03046804,0.0484,0.85
3299,358.99,1103.0,5.26341577,0.0612,1.04
3300,14.39,483.0,12.3764661,0.0893,0.63
3301,77.26,760.0,8.60010411,0.0747,0.83
3302,25.44,559.0,10.198545,0.081,0.62
3303,73.16,728.0,4.617534,0.048,0.62
3304,195.0,931.0,2.211099,0.029,0.62
3305,3.84,349.0,42.1516418,0.2095,0.58
3306,6.64,400.0,27.9481449,0.1593,0.58
3307,2.51,349.0,117.040498,0.4453,0.84
3308,9.55,487.0,42.9495649,0.2283,0.84
3309,237.04,1017.0,4.45419434,0.0495,0.9
3310,87.71,768.0,6.01038429,0.058,0.73
3311,690.13,1258.0,4.14702026,0.0502,1.15
3312,101.14,806.0,13.24934059,0.1087,1.07
3313,126.03,748.0,21.41616926,0.1553,1.22
3314,23.08,521.0,13.89961966,0.098,0.67
3315,61.57,698.0,13.14497566,0.1038,0.9
3316,1452.9,1673.0,5.08005848,0.0641,2.06
3317,4.53,355.0,172.7049784,0.5886,1.08
3318,3.42,328.0,20.995694,0.126,0.55
3319,3.07,395.0,12.0717249,0.0809,0.5
3320,12.36,453.0,8.0109434,0.0619,0.5
3322,3.68,388.0,125.63243,0.4988,0.95
3323,2.99,380.0,81.73778,0.4669,0.87
3324,442.52,1181.0,3.24755522,0.0442,0.99
3325,892.81,1877.0,1.8270823,0.0276,0.89
3326,601.89,1247.0,4.90332155,0.0594,1.27
3327,178.68,933.0,7.37868977,0.0761,0.97
3328,63.95,721.0,15.95994513,0.1272,0.98
3329,8.77,423.0,28.51120525,0.165,0.72
3330,34.09,620.0,12.92491623,0.1012,0.79
3331,10.01,453.0,29.88485741,0.1694,0.75
3332,14.24,488.0,39.30941904,0.2212,0.89
3333,144.85,870.0,9.751962,0.091,0.96
3334,23.18,550.0,38.5583038,0.2255,0.89
3335,61.0,701.0,18.6489525,0.139,0.89
3336,37.92,633.0,35.86619949,0.2134,1.19
3337,149.42,891.0,12.8345022,0.1075,1.14
3338,1808.41,1662.0,1.98035766,0.0309,1.14
3339,68.97,708.0,19.78297415,0.1409,1.06
3340,147.05,1157.0,13.28535633,0.1179,1.45
3341,584.35,1099.0,5.45849832,0.064,1.14
3342,176.23,832.0,18.68404933,0.1396,1.15
3343,2959.34,1574.0,1.88897906,0.0303,1.1
3344,434.24,974.0,7.97419807,0.0791,1.1
3345,149.13,884.0,5.83598311,0.0606,0.86
3346,63.86,761.0,38.58422849,0.2551,1.98
3347,160.61,803.0,22.20813214,0.1699,1.46
3348,351.69,1107.0,5.21104261,0.0594,1.09
3349,59.77,711.0,19.67416124,0.144,1.09
3350,2.94,332.0,36.445171,0.182,0.56
3351,8.55,433.0,16.3850021,0.10379,0.52
3352,22.72,553.0,7.8773565,0.0637,0.52
3353,19.87,532.0,24.3078946,0.1594,0.8
3354,133.32,839.0,8.51203588,0.081,0.88
3355,10.55,467.0,60.92832271,0.2897,0.98
3356,174.58,1095.0,24.85462415,0.1992,2.02
3357,47.97,564.0,19.96371318,0.1333,0.83
3358,506.41,1248.0,5.65179605,0.0676,1.44
3359,36.53,623.0,28.86235584,0.1789,1.06
3360,32.33,652.0,34.43587975,0.2194,1.3
3361,71.75,742.0,26.62949944,0.1722,1.42
3362,4.21,332.0,296.637865,0.8589,1.2
3363,114.39,797.0,19.55659418,0.134,1.41
3364,2.47,381.0,130.194,0.509,0.94
3365,4.33,439.0,85.312,0.384,0.94
3366,10.12,543.0,45.154,0.2514,0.94
